spec,outcome,outcome_label,exposure_measure,mode,event_time,coefficient,std_error,p_value,ci_low,ci_high,nobs,n_cno,r2_twfe,sample_note
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,9,162.11628709475502,264.8614624491362,0.5408531097137673,-357.0121793055519,681.244753495062,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,10,107.60904071781758,245.29195626152296,0.6611311554357568,-373.1631935547674,588.3812749904025,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,11,280.18024970211786,168.14810478508022,0.0964879083986566,-49.39003567663934,609.7505350808751,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,12,327.787099352285,137.98174280784,0.01801913967128306,57.3428834489186,598.2313152556515,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,13,377.48334274435734,170.7775001039553,0.027677111634698832,42.75944254060494,712.2072429481098,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,14,656.0560888388377,246.47469946870655,0.00810505343523413,172.96567788017285,1139.1464997975027,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,15,590.5477758956627,242.02374770742438,0.015144343750581034,116.18123038911091,1064.9143214022145,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,16,549.7387226301819,295.45729842528294,0.06357179132620097,-29.35758228337272,1128.8350275437365,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,17,649.2117761467225,297.8212354776873,0.029883514131977085,65.48215461045538,1232.9413976829896,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,18,604.7960976223351,241.34906191000923,0.012633551109601359,131.75193627871698,1077.8402589659531,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,19,428.45282012673897,167.48865404224497,0.010913693473210914,100.17505820393882,756.7305820495392,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,20,269.49978041295486,162.24334683064035,0.09752578220488345,-48.49717937510019,587.49674020101,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,21,308.277809147531,219.56843302799777,0.16113484632192077,-122.07631958734464,738.6319378824066,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,22,9.641727837487567,302.3477463315133,0.974576978536859,-582.9598549722784,602.2433106472536,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,23,373.5250643077872,205.2213811727147,0.0695332812161234,-28.708842790733627,775.7589714063081,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,24,344.1104473738191,155.61133564777896,0.027609716662373898,39.112229504172376,649.1086652434658,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,25,163.8523119393904,180.334167610841,0.36413821994545187,-189.60265657785794,517.3072804566388,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,26,511.57578894550494,209.2989722233574,0.014972189654389154,101.34980338772448,921.8017745032854,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,27,557.4329945417935,232.39221517924815,0.016938399496603928,101.94425279046715,1012.9217362931199,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,28,527.2352493012196,296.607806266856,0.07628170111432611,-54.11605098181815,1108.5865495842572,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,29,667.365800865952,333.07110272898814,0.045818255820201756,14.54643951713524,1320.1851622147688,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,30,590.9479892089721,262.9162288804918,0.025173438016085674,75.63218060320821,1106.2637978147359,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,31,522.8054143924542,201.58510234313314,0.009870287474726399,127.69861379991323,917.9122149849951,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,32,247.87492941855365,163.7119990023516,0.13083833646173204,-73.00058862605547,568.7504474631628,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,33,146.71949306742232,260.59451578607616,0.573756179807538,-364.04575787328696,657.4847440081317,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,34,-191.40695777639485,311.76893093599347,0.5396252477030236,-802.474062410942,419.6601468581523,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,35,330.04332141298136,218.39920983305117,0.13157483378120718,-98.01912985979891,758.1057726857616,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,36,225.76619711884658,181.8884752571897,0.21528895744330998,-130.7352143852452,582.2676086229384,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,37,196.2796095785281,188.84232713930007,0.2992907603911144,-173.8513516145,566.4105707715562,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,38,447.4547336722156,217.19675902119272,0.040069615378201126,21.749085990677884,873.1603813537533,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,39,455.6259175607832,214.1998552581119,0.034058241676644306,35.79420125488383,875.4576338666825,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,40,449.7196185457339,321.8347103147981,0.16312435326455724,-181.07641367127036,1080.5156507627382,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,41,575.3396072527448,325.8101477101922,0.0782242240675337,-63.24828225923193,1213.9274967647216,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
top_quartile_vs_bottom_quartile_cosine_nearest,contracts,Contracts,Cosine nearest,top_vs_bottom,42,351.0485601356005,189.3757347136335,0.06455889237084797,-20.12787990312114,722.2250001743221,23862,379,0.932956628486236,top quartile vs bottom quartile; q25=0.000000; q75=0.115575
