event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome,note
26,cevent_p26,0.016279091208856414,0.009328384535566153,0.08096508755370269,-0.002004542480853244,0.03456272489856607,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
27,cevent_p27,0.016102776345726384,0.009281573515935816,0.08275518948790683,-0.002089107745507815,0.03429466043696058,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
28,cevent_p28,0.0153463846903883,0.009420025643451754,0.10328688757405646,-0.0031168655707771373,0.03380963495155374,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
29,cevent_p29,0.01873578817873576,0.009559692890334185,0.05001058484479226,-1.2098863192422371e-06,0.03747278624379076,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
30,cevent_p30,0.019370813929885676,0.009823569371962139,0.04862430706958665,0.00011661796083988277,0.03862500989893147,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
31,cevent_p31,0.020052554582818176,0.009938592681440796,0.04362821784369797,0.0005729129271942156,0.03953219623844213,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
32,cevent_p32,0.0202344065835854,0.01016754714112635,0.046580234752447325,0.000306014186977753,0.040162798980193044,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
33,cevent_p33,0.02441387365548292,0.01005047123465909,0.015135218741400891,0.004714950035551103,0.04411279727541474,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
34,cevent_p34,0.029039389523303212,0.009959519189958717,0.003548436700606672,0.009518731910984127,0.0485600471356223,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
35,cevent_p35,0.02933291328905834,0.010166295144599083,0.003910283822320171,0.009406974805644137,0.04925885177247254,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
36,cevent_p36,0.02982067448336872,0.010336070695795735,0.00391280100521052,0.00956197591960908,0.05007937304712835,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
37,cevent_p37,0.025440910702884317,0.010771450112952576,0.018182353171863674,0.004328868481497269,0.04655295292427136,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
38,cevent_p38,0.02623733404663139,0.010638690475361747,0.013654805429511585,0.005385500714922366,0.047089167378340416,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
39,cevent_p39,0.025375594156014855,0.010555783805474795,0.016218917162685642,0.0046862578972842565,0.04606493041474545,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
40,cevent_p40,0.025988042942636073,0.010748048656911816,0.015609024767252011,0.004921867575088914,0.047054218310183235,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
41,cevent_p41,0.02856162895974068,0.011289525234747773,0.011408757796478763,0.006434159499635047,0.05068909841984631,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
42,cevent_p42,0.034138715918563406,0.011312258523697315,0.0025457365135455046,0.011966689212116667,0.056310742625010145,sample3_gender_ocup4d,ln_parados,Gender-CNO4 panel.
-20,cevent_m20,-0.009677922974570144,0.0067187496817340125,0.14974433475213988,-0.022846672350768808,0.003490826401628521,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-19,cevent_m19,-0.011176206680116017,0.006902951140671025,0.1054370155544786,-0.024705990915831227,0.0023535775555991924,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-18,cevent_m18,-0.008656690470423632,0.00680730743129577,0.20348820982234073,-0.02199901303576334,0.004685632094916077,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-17,cevent_m17,-0.012696869922904482,0.006384767633187432,0.046743277852919096,-0.025211014483951848,-0.00018272536185711535,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-16,cevent_m16,-0.01600274197745168,0.006663193743030947,0.016320762209639073,-0.029062601713792338,-0.0029428822411110226,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-15,cevent_m15,-0.006812511906703112,0.00599778229954908,0.256024170923584,-0.018568165213819307,0.0049431414004130845,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-14,cevent_m14,-0.0007492016245926906,0.005107371405125649,0.8833765091087034,-0.010759649578638963,0.00926124632945358,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-13,cevent_m13,0.00616251854242411,0.0052931280159605335,0.24432315293912255,-0.004212012368858535,0.016537049453706754,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-12,cevent_m12,0.0059186377922366504,0.00510855140402473,0.24662963583357822,-0.00409412295965182,0.01593139854412512,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-11,cevent_m11,-0.000990858970020138,0.005150482062081218,0.8474431536957054,-0.011085803811699326,0.00910408587165905,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-10,cevent_m10,-0.0016821845837952298,0.0052570348908523214,0.7489779315502378,-0.011985972969865779,0.008621603802275321,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-9,cevent_m9,-0.009671254841838032,0.005046679737596134,0.05531929713013395,-0.019562747127526453,0.0002202374438503886,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-8,cevent_m8,-0.009032362887776844,0.005151701209325148,0.07955435004068523,-0.019129697258054135,0.0010649714825004472,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-7,cevent_m7,-0.011517606137109391,0.005234802886034959,0.02779280548345464,-0.021777819793737913,-0.0012573924804808716,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-6,cevent_m6,-0.01170923105061076,0.005041542159209756,0.020203368124406706,-0.02159065368266188,-0.0018278084185596368,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-5,cevent_m5,-0.011711534661850922,0.004653148225975435,0.011839055675466614,-0.020831705184762773,-0.002591364138939071,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-4,cevent_m4,-0.015236845105306684,0.004652382109379559,0.001056383645177572,-0.02435551403969062,-0.006118176170922748,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-3,cevent_m3,-0.00530405672288173,0.0033451029224396646,0.1128259011327244,-0.011860458450863472,0.0012523450051000126,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-2,cevent_m2,-0.002099354989624114,0.0030274555466193193,0.48803425144372303,-0.008033167860997979,0.0038344578817497517,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
-1,reference,0.0,,,,,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
0,cevent_0,-0.0027623608000195274,0.0036496835742463947,0.44912367987309887,-0.009915740605542461,0.004391019005503406,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
1,cevent_p1,0.002301310515737788,0.0037526795883651683,0.5397146146091534,-0.005053941477457942,0.009656562508933517,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
2,cevent_p2,-0.0015720932750977437,0.003957430559053083,0.6911823718412484,-0.009328657170841786,0.006184470620646299,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
3,cevent_p3,-0.003474284213176175,0.003991817887888635,0.384108407517157,-0.011298247273437898,0.004349678847085549,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
4,cevent_p4,-0.004016315669936178,0.004403895626637078,0.36177315726263726,-0.012647951098144851,0.004615319758272494,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
5,cevent_p5,-0.0032131977719952677,0.004559805933319184,0.4810102567664192,-0.012150417401300868,0.005724021857310333,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
6,cevent_p6,-0.0018554224055219457,0.005050534990464938,0.7133419582945737,-0.011754470986833226,0.008043626175789333,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
7,cevent_p7,-0.004689526417318886,0.005564051812130189,0.39932587671926756,-0.015595067969094056,0.006216015134456284,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
8,cevent_p8,0.0031860274527604872,0.0055621065637549314,0.5667736893297672,-0.007715701412199179,0.014087756317720152,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
9,cevent_p9,0.00712272432935699,0.0054924077887463525,0.19468936412276827,-0.003642394936585861,0.01788784359529984,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
10,cevent_p10,0.01708493406808284,0.005611521012773429,0.0023297654330911577,0.00608635288304692,0.028083515253118762,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
11,cevent_p11,0.02366746790485133,0.00572526698372132,3.5671655441937844e-05,0.012445944616757543,0.03488899119294512,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
12,cevent_p12,0.021193012883847805,0.005930346723708195,0.00035203277348583306,0.009569533305379742,0.03281649246231587,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
13,cevent_p13,0.018835240848595572,0.00561245330817816,0.0007908633611837246,0.007834832364566379,0.029835649332624767,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
14,cevent_p14,0.01808341131651245,0.0062043157710568965,0.003560872087202016,0.0059229524052409315,0.030243870227783964,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
15,cevent_p15,0.016218070484140895,0.006291234713061503,0.009940749150634698,0.00388725044654035,0.028548890521741442,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
16,cevent_p16,0.012139540251876278,0.006574471366201391,0.06482451865051253,-0.0007464236258784493,0.025025504129631004,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
17,cevent_p17,0.011848186002200651,0.007380189323264217,0.10840490855421603,-0.0026169850713972133,0.026313357075798516,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
18,cevent_p18,0.014239221825097192,0.007499822432969868,0.057616054111848225,-0.0004604301435237497,0.028938873793718133,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
19,cevent_p19,0.015267807649199761,0.007934959130034959,0.054339637083826275,-0.00028471224566875737,0.030820327544068278,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
21,cevent_p21,0.023933763483666062,0.008342454125409177,0.004118868871200387,0.007582553397864077,0.040284973569468044,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
22,cevent_p22,0.03185784706295725,0.008048062318304518,7.543793354125583e-05,0.016083644919080396,0.04763204920683411,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
23,cevent_p23,0.03524904575408321,0.008306457341470135,2.1999022260743573e-05,0.018968389364801747,0.05152970214336468,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
24,cevent_p24,0.03283818053598362,0.008301922919682618,7.637765660173379e-05,0.01656641161340569,0.04910994945856155,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
25,cevent_p25,0.03231962781190404,0.008685662078986805,0.00019841017653554616,0.015295730137089902,0.04934352548671818,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
26,cevent_p26,0.03020038002067796,0.008673749776676815,0.0004980302219270705,0.013199830458391404,0.04720092958296452,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
27,cevent_p27,0.02912817687191568,0.00881000759489861,0.0009455026505351682,0.011860561985914408,0.04639579175791696,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
28,cevent_p28,0.02728742755012947,0.009276599363188658,0.003265915426719612,0.0091052927982797,0.04546956230197924,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
29,cevent_p29,0.02977060368206672,0.009921674555529999,0.002694815264761674,0.01032412155322792,0.04921708581090552,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
30,cevent_p30,0.031402499724418165,0.009845387463379724,0.0014248726924646071,0.012105540296193908,0.05069945915264242,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
31,cevent_p31,0.027286720246698332,0.010188248990668532,0.0074007037421071065,0.007317752224988011,0.047255688268408653,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
32,cevent_p32,0.02835096189950543,0.010428150944397,0.0065540009867632865,0.007911786048487308,0.04879013775052355,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
33,cevent_p33,0.03638026953657538,0.010156092435593596,0.0003408264538224959,0.016474328362811933,0.05628621071033883,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
34,cevent_p34,0.04451502508422977,0.009742497456574302,4.896839570056599e-06,0.025419730069344136,0.06361032009911541,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
35,cevent_p35,0.045830216293167976,0.009936427703771133,3.981545797282493e-06,0.026354817993776557,0.0653056145925594,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
36,cevent_p36,0.04799734456247111,0.010114563187568171,2.0812556129623516e-06,0.028172800714837493,0.06782188841010472,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
37,cevent_p37,0.04536609410370662,0.010172958089570326,8.215907959963076e-06,0.025427096248148782,0.06530509195926446,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
38,cevent_p38,0.04099917726200755,0.010384683233934612,7.879261286758421e-05,0.020645198123495714,0.06135315640051939,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
39,cevent_p39,0.03390382447512267,0.010506859457833181,0.0012517083669687512,0.013310379937769633,0.0544972690124757,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
40,cevent_p40,0.03595561615094763,0.010440674994690782,0.0005735958563777288,0.015491893161353701,0.05641933914054156,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
41,cevent_p41,0.042255791864540614,0.011091986177772847,0.0001392039149221702,0.020515498956105833,0.06399608477297539,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
42,cevent_p42,0.04569819936451541,0.011278533906992455,5.082826878544111e-05,0.0235922729068102,0.06780412582222062,sample4_age_ocup4d,ln_parados,Age-band-CNO4 panel.
